study_id,about_flu,about_attitude,about_info,about_beliefs,about_intent,about_change,unclear,understood_intent
144,1,0,0,1,0,0,0,0
146,1,1,0,0,0,0,0,0
148,1,1,1,0,1,0,0,0
150,1,0,0,0,1,0,0,0
151,0,0,0,0,0,0,1,0
154,1,0,1,0,0,0,0,0
157,1,0,1,0,1,1,0,1
161,1,0,0,0,0,0,1,0
164,1,1,0,0,0,0,0,0
168,1,1,0,0,0,0,0,0
173,1,1,0,1,0,0,0,0
178,1,0,1,1,1,1,0,1
180,0,0,0,0,0,0,1,0
182,0,1,0,0,0,0,1,0
183,0,1,1,0,0,0,0,0
184,1,1,0,0,0,0,0,0
185,1,1,0,0,0,0,0,0
187,1,1,1,0,0,0,0,0
188,0,0,0,0,0,0,1,0
189,1,1,0,1,0,0,0,0
190,1,0,0,0,1,1,0,0
195,0,1,1,0,0,1,0,0
200,1,0,0,0,1,0,0,0
201,1,0,0,0,1,1,0,0
203,1,0,0,0,1,0,0,0
204,0,0,0,0,0,0,1,0
206,1,0,0,1,0,0,0,0
207,1,0,0,0,0,0,1,0
208,1,1,1,0,0,1,0,1
209,1,0,0,1,0,0,0,0
210,1,0,1,0,1,1,0,1
213,0,1,0,0,0,0,1,0
214,1,0,0,1,0,0,1,0
215,1,1,1,0,0,0,0,0
216,1,0,1,1,0,1,0,1
217,1,1,1,1,1,1,0,1
218,1,1,0,1,0,0,0,0
219,1,0,0,0,1,1,0,0
220,1,1,0,1,0,0,0,0
222,1,0,0,0,1,0,0,0
229,1,1,1,1,0,0,0,0
237,1,1,1,0,0,1,0,1
238,1,1,0,0,0,0,0,0
239,1,1,1,0,0,0,0,0
240,1,1,0,1,0,0,0,0
244,1,1,0,0,0,0,0,0
246,1,0,0,0,0,0,1,0
249,1,0,1,0,1,0,0,0
250,1,0,1,0,0,1,0,0
256,1,1,1,0,1,0,0,0
262,1,0,0,0,1,0,0,0
263,1,0,0,1,1,0,0,0
264,1,0,0,0,1,0,0,0
266,0,0,0,0,0,0,1,0
267,0,0,1,0,0,0,1,0
268,1,0,0,1,0,0,1,0
270,1,0,0,0,0,0,1,0
271,0,0,0,0,0,0,1,0
272,1,1,0,1,0,0,0,0
273,0,0,0,0,0,0,1,0
280,1,0,1,1,1,1,0,1
281,1,0,1,0,0,1,0,0
284,1,0,1,1,0,0,0,0
286,1,1,0,0,1,0,0,0
291,1,0,1,1,1,1,0,1
292,1,1,1,1,0,1,0,1
293,1,1,0,1,0,0,0,0
294,0,0,0,0,0,0,1,0
296,1,1,0,0,1,0,0,0
299,0,0,0,0,0,0,1,0
302,0,0,0,0,0,0,1,0
303,1,1,0,0,0,0,0,0
307,1,1,0,0,0,0,0,0
308,0,0,0,0,0,0,1,0
309,1,0,1,0,1,1,0,1
312,1,1,0,1,0,0,0,0
314,0,1,0,0,0,0,1,0
315,1,0,1,1,0,1,0,1
317,1,1,0,1,0,0,0,0
319,1,1,0,0,0,0,0,0
322,0,1,1,0,0,1,0,0
329,1,1,0,0,0,0,0,0
330,1,1,0,1,0,0,0,0
331,1,1,0,0,0,0,0,0
333,1,1,0,1,0,0,0,0
337,1,1,1,0,0,0,0,0
338,1,1,1,0,0,1,0,1
340,1,1,1,1,0,1,0,1
342,1,1,0,0,0,0,0,0
343,1,1,1,0,1,0,0,0
344,1,1,0,0,0,0,0,0
348,1,1,1,1,1,1,0,1
349,0,0,1,0,0,0,0,0
355,0,1,1,0,0,0,0,0
357,1,1,0,1,0,0,0,0
359,1,1,0,0,0,0,0,0
363,1,0,0,1,0,0,0,0
364,1,0,0,1,0,0,0,0
368,1,1,0,0,0,0,0,0
369,1,1,0,1,0,0,0,0
374,1,1,0,0,0,0,0,0
377,1,1,0,0,0,0,0,0
380,0,1,1,0,0,0,0,0
382,0,0,0,0,0,0,1,0
383,1,1,0,1,1,0,0,0
384,1,1,0,0,0,0,0,0
385,1,1,0,0,0,0,0,0
388,1,0,1,0,0,1,0,0
390,1,0,0,0,0,0,1,0
394,1,0,1,1,0,0,0,0
395,1,1,0,1,0,0,0,0
397,1,0,0,1,0,0,0,0
398,1,0,1,0,1,0,0,0
399,1,0,0,0,1,1,0,0
405,1,0,0,1,0,0,0,0
406,1,1,0,0,0,0,0,0
408,1,1,0,0,0,0,0,0
412,1,1,0,0,0,0,0,0
413,1,1,0,1,0,0,0,0
414,1,1,0,0,0,0,0,0
415,0,1,1,0,0,1,0,0
416,1,1,0,1,0,0,0,0
418,1,0,1,1,0,1,0,1
420,1,0,0,0,1,0,0,0
426,0,0,1,0,0,1,0,0
429,1,1,0,0,0,0,0,0
432,1,0,0,1,0,0,0,0
437,1,1,0,1,0,0,0,0
438,1,1,1,0,0,1,0,1
439,1,1,0,0,0,0,0,0
441,0,0,1,0,0,1,0,0
442,0,0,0,0,0,0,1,0
443,1,1,0,0,0,0,0,0
444,1,1,0,0,0,0,0,0
448,1,0,1,0,1,1,0,1
450,1,0,1,0,0,0,0,0
451,0,0,0,0,0,0,1,0
454,1,1,0,0,1,0,0,0
455,1,0,0,0,0,0,1,0
456,0,0,0,0,0,0,1,0
458,1,0,1,0,1,1,0,1
459,0,0,1,0,1,1,0,0
460,1,1,0,1,0,0,0,0
462,1,0,0,0,1,1,0,0
465,1,0,1,1,0,0,0,0
466,1,1,1,0,0,1,0,1
468,1,1,0,1,0,0,0,0
469,1,0,0,0,1,0,0,0
471,1,1,1,1,1,0,0,0
472,1,0,0,0,1,0,1,0
474,1,1,1,0,0,0,0,0
475,1,1,0,1,0,0,0,0
478,0,0,0,0,0,0,1,0
480,0,1,1,0,0,1,0,0
481,1,1,0,0,0,0,0,0
483,1,1,0,1,0,0,0,0
485,1,0,0,1,0,0,0,0
486,0,0,0,0,0,0,1,0
487,1,1,0,0,0,0,0,0
488,1,0,0,0,0,0,0,0
496,0,0,0,0,0,0,1,0
500,1,1,0,0,0,0,0,0
501,1,0,1,1,0,1,0,1
502,1,1,0,1,0,0,0,0
503,1,1,0,0,0,0,0,0
508,1,0,1,1,1,0,0,0
509,1,0,0,0,1,0,0,0
511,1,1,0,1,0,0,0,0
516,1,0,0,0,1,0,0,0
517,1,1,0,1,1,0,0,0
521,0,0,0,0,0,0,1,0
523,1,1,0,0,0,0,0,0
524,1,1,0,1,0,0,0,0
525,1,0,0,1,0,0,0,0
526,1,1,1,0,0,0,0,0
528,0,0,0,0,0,0,1,0
530,1,1,0,0,0,0,0,0
539,1,1,0,0,0,0,0,0
540,1,1,0,0,0,0,0,0
544,1,1,0,1,0,0,0,0
545,1,1,0,0,0,0,0,0
548,0,1,1,0,0,0,0,0
557,1,1,0,0,0,0,0,0
558,0,0,0,0,0,0,1,0
559,1,0,0,0,0,0,1,0
560,1,1,0,1,0,0,0,0
562,0,1,1,0,0,1,0,0
566,0,0,1,0,1,1,0,0
567,1,1,0,1,0,0,0,0
573,0,1,0,0,0,0,0,0
575,1,0,1,1,0,1,0,1
577,1,0,0,1,0,0,0,0
579,0,0,0,0,0,0,1,0
580,1,1,0,1,0,1,0,0
586,0,0,0,0,0,0,1,0
590,1,0,0,1,0,0,0,0
591,0,1,1,0,0,1,0,0
594,1,1,0,0,0,0,0,0
596,1,1,0,1,0,0,0,0
597,1,0,1,0,1,0,0,0
599,1,0,0,0,1,0,0,0
600,1,1,0,0,0,0,0,0
606,1,1,1,1,0,0,0,0
607,1,0,1,0,1,0,0,0
611,1,1,0,0,0,0,0,0
613,1,1,0,1,0,0,0,0
616,1,0,0,0,1,0,0,0
620,1,0,1,0,0,1,0,0
621,1,1,0,0,0,0,0,0
624,1,1,0,0,0,0,0,0
625,1,0,1,1,0,1,0,1
626,1,0,0,1,0,0,0,0
627,0,0,0,0,0,0,1,0
628,1,1,0,1,0,0,0,0
630,1,0,0,0,1,0,0,0
635,1,0,0,0,1,0,0,0
639,1,1,0,0,0,0,0,0
640,1,1,1,1,1,0,0,0
641,0,1,1,0,0,0,1,0
643,1,0,0,1,0,0,0,0
646,1,0,0,0,0,0,1,0
647,1,1,0,1,0,0,0,0
648,1,1,0,1,0,0,0,0
649,1,0,1,0,1,1,0,1
651,0,0,0,0,0,0,1,0
654,1,1,0,1,0,0,0,0
655,1,1,1,0,0,0,0,0
658,0,0,0,0,0,0,1,0
659,1,1,0,1,0,0,0,0
660,1,1,0,0,0,0,0,0
661,1,1,0,1,0,0,0,0
665,1,0,1,1,0,0,0,0
667,1,0,0,1,0,0,0,0
668,1,0,1,1,0,1,0,1
670,1,1,0,1,0,0,0,0
672,1,1,1,0,0,0,0,0
673,1,0,0,1,1,0,0,0
674,1,1,0,1,0,0,0,0
675,1,0,0,1,1,0,0,0
677,1,0,0,0,1,1,0,0
679,1,0,0,0,0,0,1,0
682,1,0,1,0,0,1,0,0
684,0,1,1,0,0,1,0,0
687,0,0,1,0,1,1,0,0
688,0,0,1,0,0,1,0,0
692,0,0,0,0,0,0,1,0
693,0,1,0,0,0,0,1,0
694,1,1,0,1,0,0,0,0
695,1,0,1,0,1,0,0,0
699,1,1,1,0,0,1,0,1
701,0,0,1,0,0,0,0,0
702,1,1,0,0,0,0,0,0
703,1,1,0,0,0,0,0,0
706,1,1,0,0,0,0,0,0
708,1,0,0,0,0,0,1,0
711,1,0,1,1,1,1,0,1
716,1,0,0,0,0,0,1,0
717,1,0,1,0,0,1,0,0
721,1,1,0,1,0,0,0,0
722,0,0,0,0,0,0,1,0
724,0,0,0,0,0,0,1,0
725,1,1,0,0,0,0,0,0
730,1,0,1,1,0,0,0,0
733,1,1,0,1,0,0,0,0
736,1,0,1,1,1,1,0,1
737,1,0,1,1,1,1,0,1
740,1,0,0,0,1,0,0,0
743,1,1,0,0,0,0,0,0
745,0,0,0,0,0,0,1,0
746,0,0,0,0,0,0,1,0
747,1,0,1,1,1,0,0,0
748,1,0,1,1,0,0,0,0
749,0,0,0,0,0,0,1,0
751,1,1,0,1,1,0,0,0
754,1,1,1,1,0,1,0,1
755,1,1,1,1,0,0,0,0
756,1,0,0,1,0,0,0,0
759,1,0,0,1,0,0,0,0
764,0,0,0,1,0,0,0,0
767,1,1,1,0,0,1,0,1
769,1,0,1,0,0,1,0,0
774,0,0,0,0,0,0,1,0
775,1,1,0,0,0,0,0,0
777,1,1,0,1,0,0,0,0
778,1,1,0,0,0,0,0,0
782,1,1,0,0,0,0,0,0
787,0,0,0,0,0,0,1,0
788,1,1,1,0,0,0,0,0
789,1,1,0,0,0,0,0,0
790,1,0,0,0,1,0,0,0
793,1,1,1,0,0,1,0,1
794,0,0,0,0,0,0,1,0
795,1,0,1,1,1,1,0,1
796,1,1,0,0,0,0,0,0
797,1,1,0,0,0,0,0,0
802,1,0,1,1,0,0,0,0
806,1,0,1,0,1,1,0,1
807,1,1,0,1,1,0,0,0
808,0,1,1,0,0,0,0,0
809,1,1,0,1,0,0,0,0
810,1,0,1,1,0,1,0,1
812,0,0,0,0,0,0,1,0
813,1,1,0,0,0,0,0,0
816,1,1,0,0,0,0,0,0
817,1,1,1,0,0,1,0,1
818,1,1,0,1,0,0,0,0
819,1,0,0,1,0,0,0,0
821,1,0,1,0,0,1,0,0
822,1,1,0,1,0,0,0,0
823,1,1,0,0,0,0,0,0
825,1,1,0,0,1,0,0,0
835,1,1,0,0,0,0,0,0
838,1,1,0,1,0,0,0,0
839,1,0,0,0,1,0,0,0
840,0,0,0,0,0,0,1,0
848,1,0,0,1,0,0,0,0
850,1,0,0,1,0,0,0,0
851,1,1,0,1,0,0,0,0
853,0,0,0,0,0,0,1,0
854,1,1,0,0,0,0,0,0
857,1,1,0,0,0,0,0,0
858,1,1,0,0,0,0,0,0
860,1,1,0,0,0,0,0,0
862,1,1,0,0,0,0,0,0
868,0,1,1,0,0,0,0,0
870,0,0,1,0,0,1,0,0
874,1,1,0,0,0,0,0,0
880,1,0,0,1,0,0,1,0
881,1,1,0,0,0,0,0,0
882,1,0,1,1,0,0,0,0
884,1,1,0,0,0,0,0,0
889,1,1,0,0,0,0,0,0
893,1,0,0,1,0,0,0,0
895,1,0,0,1,0,0,0,0
896,0,0,0,0,0,0,1,0
898,1,1,1,0,0,0,0,0
899,1,1,0,1,0,0,0,0
900,1,1,1,0,0,1,0,1
901,1,0,0,0,0,0,1,0
903,1,1,0,0,0,0,0,0
905,1,1,0,0,0,0,0,0
909,1,0,1,0,0,0,0,0
912,0,0,0,0,0,0,1,0
913,1,0,1,1,0,1,0,1
914,1,1,0,1,0,0,0,0
915,1,0,0,0,0,0,0,0
916,1,1,0,1,0,0,0,0
917,1,1,0,1,0,0,0,0
921,0,0,0,0,0,0,1,0
923,1,1,0,1,0,0,0,0
928,1,1,0,0,0,0,0,0
932,1,1,0,1,0,0,0,0
935,1,1,0,0,0,0,0,0
936,0,0,1,0,0,0,1,0
937,1,1,1,0,0,1,0,1
938,0,0,0,0,0,0,1,0
942,1,1,0,0,0,0,0,0
945,1,1,0,1,0,0,0,0
946,1,1,1,0,0,1,0,1
947,1,0,0,1,0,0,1,0
950,1,1,0,0,0,0,0,0
951,1,1,0,1,1,0,0,0
952,1,0,0,1,0,0,0,0
956,1,0,1,0,1,1,0,1
958,1,1,1,1,0,1,0,1
961,1,0,1,1,1,0,0,0
967,1,1,0,0,0,0,0,0
968,1,1,0,1,0,0,0,0
970,1,1,0,0,0,0,0,0
974,0,1,1,0,0,0,0,0
978,1,1,0,0,0,0,0,0
979,1,0,0,1,1,1,0,0
983,0,0,0,0,0,0,1,0
992,1,1,0,0,0,0,0,0
994,1,1,0,0,0,0,0,0
995,1,1,1,0,0,1,0,1
996,1,1,0,0,1,1,0,0
1000,1,1,1,0,0,1,0,1
1004,1,0,0,0,0,0,1,0
1006,1,1,1,0,0,1,0,1
1008,1,1,0,1,0,0,0,0
1011,1,1,0,0,0,0,1,0
1013,1,1,1,0,1,0,0,0
1017,1,1,0,0,0,0,0,0
1021,1,0,0,0,0,0,1,0
1022,1,1,0,1,0,0,0,0
1024,0,0,0,0,0,0,1,0
1028,1,1,0,0,0,0,0,0
1029,1,1,1,0,0,0,0,0
1030,1,1,0,1,0,0,0,0
1031,0,0,0,0,0,0,1,0
1032,1,1,1,1,1,1,0,1
1034,1,1,1,0,0,1,0,1
1037,1,1,0,0,0,0,0,0
1042,1,1,0,0,0,0,0,0
1046,1,0,0,1,0,0,0,0
1050,1,0,0,1,0,0,0,0
1051,1,1,0,0,0,0,0,0
1060,1,1,0,0,0,0,0,0
1062,0,0,0,1,0,0,1,0
1064,1,1,1,1,0,0,0,0
1066,1,1,0,0,1,0,0,0
1069,0,0,0,0,0,0,1,0
1071,0,0,0,0,0,0,1,0
1080,1,1,0,0,0,0,0,0
1081,0,0,0,0,0,0,1,0
1082,1,1,1,0,1,0,0,0
1084,1,1,1,1,1,1,0,1
1086,1,1,0,1,0,0,0,0
1088,0,0,1,0,0,0,1,0
1091,1,0,0,1,0,0,0,0
1092,1,1,0,0,0,0,0,0
1093,1,1,0,0,0,0,0,0
1096,1,0,1,0,1,1,0,1
1099,1,1,0,1,0,0,0,0
1100,1,1,0,0,0,0,1,0
1102,1,0,1,1,0,0,0,0
1104,1,0,0,1,0,0,0,0
1106,1,1,0,0,0,0,0,0
1108,1,1,0,1,0,0,0,0
1110,1,0,0,1,0,0,0,0
1115,1,0,0,1,0,0,0,0
1118,1,1,1,0,0,0,0,0
1119,1,1,1,1,0,1,0,1
1121,1,0,0,1,1,1,0,0
1122,1,0,0,0,0,0,1,0
1123,1,0,0,1,0,1,0,0
1125,1,0,1,0,0,1,0,0
1126,1,0,0,1,1,0,0,0
1127,1,0,0,1,1,0,0,0
1129,1,1,1,0,0,0,0,0
1131,1,1,0,1,0,0,0,0
1135,0,1,0,0,0,0,1,0
1136,1,0,1,0,0,1,0,0
1140,1,1,1,0,0,0,0,0
1145,1,1,1,0,0,1,0,1
1147,1,1,1,0,0,1,0,1
1149,1,1,0,0,0,0,0,0
1150,1,0,0,1,1,1,0,0
1153,1,1,0,0,0,0,0,0
1156,1,1,1,1,0,0,0,0
1157,1,1,0,0,0,0,0,0
1159,1,1,0,1,0,0,0,0
1160,1,0,1,0,1,1,0,1
1162,1,1,0,1,0,0,0,0
1163,0,0,0,0,0,0,1,0
1164,0,1,1,1,0,1,0,0
1165,1,1,0,1,0,0,0,0
1171,1,0,1,1,1,1,0,1
1172,1,1,1,1,1,0,0,0
1176,0,0,1,0,0,0,1,0
1179,1,1,0,1,0,0,0,0
1181,1,1,0,1,0,0,0,0
1182,1,0,0,0,0,0,1,0
1188,1,1,1,0,0,0,0,0
1190,1,1,0,0,0,0,0,0
1198,0,0,0,0,0,0,1,0
1200,1,0,1,0,1,1,0,1
1201,1,0,1,1,0,0,0,0
1202,1,1,0,1,1,0,0,0
1206,1,1,0,0,0,0,0,0
1209,1,0,0,1,1,0,0,0
1211,1,0,0,1,1,0,0,0
1214,1,0,1,0,1,1,0,1
1215,0,0,0,0,0,0,1,0
1222,0,0,0,0,0,0,1,0
1225,1,1,0,1,0,0,0,0
1226,1,1,0,1,0,0,0,0
1227,1,0,0,0,0,0,1,0
1229,1,1,0,0,0,0,0,0
1233,1,1,0,1,0,0,0,0
1234,1,0,0,1,0,0,1,0
1239,1,1,0,0,0,0,0,0
1241,1,1,1,0,0,0,0,0
1243,1,1,0,0,0,0,0,0
1246,1,0,1,0,1,1,0,1
1247,1,0,0,1,0,0,0,0
1248,1,0,0,0,0,0,1,0
1249,1,1,0,0,0,0,0,0
1258,1,0,0,0,0,0,1,0
1263,1,0,1,0,0,0,0,0
1264,1,0,1,0,1,1,0,1
1270,0,0,0,0,0,0,1,0
1272,1,1,0,0,0,0,0,0
1274,1,1,0,1,0,0,0,0
1276,1,0,0,1,0,0,0,0
1277,1,0,0,1,0,0,0,0
1278,1,0,0,0,1,0,0,0
1281,0,1,0,0,0,0,1,0
1284,1,0,1,1,0,0,0,0
1286,1,1,0,0,0,0,0,0
1290,0,0,0,0,0,0,1,0
1293,1,0,1,1,1,1,0,1
1295,0,0,0,0,0,0,1,0
1296,0,0,0,0,0,0,1,0
1298,1,1,0,1,0,0,0,0
1299,1,1,0,1,0,0,0,0
1302,1,1,0,0,0,0,0,0
1303,1,1,1,0,0,0,0,0
1305,1,1,1,1,0,1,0,1
1307,1,0,1,1,0,1,0,1
1310,1,0,1,1,0,0,0,0
1311,1,1,0,0,0,0,0,0
1314,0,1,1,0,0,1,0,0
1316,0,0,0,0,0,0,1,0
1317,1,1,0,0,0,0,0,0
1319,1,1,0,1,0,0,0,0
1321,1,0,0,1,0,0,0,0
1322,0,0,0,0,0,0,1,0
1323,0,0,0,0,0,0,1,0
1329,1,0,1,0,0,0,0,0
1330,1,1,0,1,0,0,0,0
1331,1,1,1,0,1,1,0,1
1332,1,0,0,0,1,1,0,0
1337,1,1,0,1,0,0,0,0
1340,1,1,0,0,0,0,0,0
1342,1,1,0,0,1,0,0,0
1343,1,1,1,0,0,0,0,0
1344,1,1,0,0,0,0,0,0
1349,1,1,0,0,0,0,0,0
1359,1,1,0,0,0,0,0,0
1360,1,1,1,1,0,0,0,0
1364,1,0,0,0,1,1,0,0
1366,1,0,0,1,1,0,0,0
1367,1,0,1,0,1,1,0,1
1368,1,0,0,0,1,1,0,0
1369,1,1,0,1,0,0,0,0
1372,1,1,0,1,0,0,0,0
1373,1,1,1,0,0,0,0,0
1378,1,1,0,0,0,0,0,0
1379,1,1,0,0,0,0,0,0
1383,1,1,0,0,0,0,0,0
1384,0,0,1,0,0,1,0,0
1385,1,1,0,1,0,0,0,0
1388,1,0,1,0,0,1,0,0
1391,0,0,0,0,0,0,1,0
1392,0,0,0,0,0,0,1,0
1394,1,1,0,0,0,0,0,0
1396,1,0,1,1,1,1,0,1
1398,1,0,0,0,0,0,1,0
1400,0,0,0,0,0,0,1,0
1401,1,1,1,0,0,0,0,0
1402,1,1,0,0,0,0,0,0
1403,1,1,0,0,0,0,0,0
1404,1,0,0,0,1,0,0,0
1406,1,0,0,1,1,0,0,0
1407,1,0,0,0,1,0,0,0
1411,1,0,0,1,0,0,0,0
1412,1,1,0,0,0,0,0,0
1414,1,1,0,0,0,0,0,0
1417,0,0,0,0,0,0,1,0
1421,0,0,0,0,0,0,1,0
1423,0,0,0,0,0,0,1,0
1424,0,0,0,0,0,0,1,0
1426,1,1,0,0,0,0,0,0
1427,0,0,0,0,0,0,1,0
1428,1,1,0,1,0,0,0,0
1429,1,0,1,1,0,0,0,0
1430,0,0,0,0,0,0,1,0
1431,1,0,1,1,1,0,0,0
1432,1,1,0,1,0,0,0,0
1434,1,1,0,0,0,0,0,0
1437,1,1,0,0,0,0,0,0
1438,1,0,0,0,0,0,1,0
1442,0,0,0,0,0,0,1,0
1445,1,0,0,0,0,0,1,0
1446,1,0,1,0,1,0,0,0
1449,1,0,0,1,1,0,0,0
1452,1,1,0,0,1,0,0,0
1453,1,1,0,0,1,1,0,0
1457,1,1,0,1,1,0,0,0
1458,1,0,1,1,0,0,0,0
1459,1,1,0,0,1,0,0,0
1463,1,0,0,1,0,0,0,0
1466,0,0,0,0,0,0,1,0
1469,1,1,1,0,1,1,0,1
1470,1,0,1,0,0,0,0,0
1474,1,0,1,0,1,0,0,0
1477,1,1,0,1,1,1,0,0
1485,0,1,0,0,0,0,1,0
1488,1,1,0,1,0,0,0,0
1494,0,0,1,0,1,1,0,0
1495,1,1,0,0,0,0,0,0
1496,1,0,0,0,1,0,0,0
1497,1,0,1,0,1,1,0,1
1498,0,0,0,0,0,0,1,0
1499,1,0,1,0,0,0,0,0
1500,1,0,0,0,0,0,0,0
1501,1,0,0,0,0,0,0,0
1505,0,0,0,0,0,0,1,0
1507,1,1,0,0,0,0,0,0
1508,0,1,0,0,0,0,1,0
1509,1,1,0,1,0,0,0,0
1510,0,0,0,0,0,0,1,0
1512,1,1,0,1,0,0,0,0
1515,1,0,0,1,0,0,0,0
1518,1,1,0,0,0,0,0,0
1521,1,1,0,0,0,0,0,0
1522,1,0,1,0,1,1,0,1
1526,1,0,0,0,1,1,0,0
1530,1,0,0,1,0,0,0,0
1533,1,1,0,0,0,0,0,0
1537,0,0,0,0,0,0,1,0
1541,0,0,1,0,0,0,0,0
1542,1,0,1,1,0,1,0,1
1546,1,0,0,0,1,1,0,0
1554,0,1,1,0,0,1,0,0
1557,0,0,0,0,0,0,1,0
1558,1,1,0,1,0,0,0,0
1561,1,1,0,1,0,0,0,0
1562,0,0,0,0,0,0,1,0
1567,1,0,0,1,0,0,0,0
1569,1,1,0,0,0,0,0,0
1572,1,1,0,0,0,0,0,0
1575,1,1,1,0,0,1,0,1
1577,1,0,0,1,0,0,0,0
1580,1,1,0,0,0,0,0,0
1582,1,1,0,0,0,0,1,0
1583,0,0,0,0,0,0,1,0
1587,1,0,0,1,0,0,0,0
1588,1,0,0,0,1,0,0,0
1589,1,1,0,1,0,0,0,0
1590,1,1,0,0,0,0,0,0
1599,1,0,0,0,1,1,0,0
1602,1,1,0,0,0,0,0,0
1606,1,1,1,1,0,0,0,0
1608,1,1,1,1,0,0,0,0
1613,1,0,0,1,0,0,0,0
1614,1,1,0,1,0,0,0,0
1615,1,1,0,0,0,0,0,0
1618,1,0,1,0,0,0,0,0
1620,1,1,0,0,0,0,0,0
1621,1,0,0,1,0,0,0,0
1625,0,1,1,0,0,1,0,0
1627,0,0,0,0,0,0,1,0
1628,0,0,0,0,0,0,1,0
1636,1,1,0,0,0,0,0,0
1643,0,0,0,0,0,0,1,0
1646,1,0,1,0,0,1,0,0
1647,0,1,0,0,0,0,1,0
1649,0,0,0,0,0,0,1,0
1653,1,1,0,0,0,0,0,0
1654,1,1,1,1,0,1,0,1
1655,1,0,0,0,0,0,1,0
1658,0,0,0,0,0,0,1,0
1663,1,1,0,0,0,0,0,0
1664,1,1,1,0,0,1,0,1
1668,1,0,1,0,0,0,0,0
1673,1,0,0,0,1,1,0,0
1675,1,0,0,0,1,1,0,0
1676,1,1,0,0,1,0,0,0
1682,1,1,0,1,0,1,0,0
1683,1,1,0,0,0,0,0,0
1685,1,1,0,1,0,0,0,0
1686,1,0,0,1,0,0,0,0
1687,1,0,0,1,0,0,1,0
1688,1,1,0,0,0,0,0,0
1690,1,1,1,1,0,0,0,0
1691,1,0,0,0,1,0,0,0
1693,1,1,0,0,0,0,0,0
1696,1,0,1,1,1,1,0,1
1699,1,0,0,0,1,0,0,0
1700,1,1,0,0,0,0,0,0
1704,1,1,0,0,0,0,0,0
1705,1,0,0,1,1,0,0,0
1710,1,0,0,1,0,0,0,0
1712,0,1,1,0,0,1,0,0
1714,1,0,0,1,1,0,0,0
1715,0,0,0,0,0,0,1,0
1716,1,0,0,1,0,0,0,0
1720,1,1,1,1,0,0,0,0
1721,1,0,0,1,0,0,0,0
1724,1,0,0,1,0,0,0,0
1725,1,0,1,0,0,0,0,0
1726,1,1,1,0,0,1,0,1
1730,1,1,0,1,1,0,0,0
1731,1,1,0,0,0,0,0,0
1732,0,0,0,0,0,0,1,0
1733,0,0,1,0,0,1,0,0
1734,1,0,0,0,1,1,0,0
1735,1,1,0,0,0,0,0,0
1736,1,1,0,0,1,0,0,0
1737,1,1,0,0,1,0,0,0
1738,1,0,1,1,0,0,0,0
1739,0,0,0,0,0,0,1,0
1743,0,0,0,0,0,0,1,0
1744,0,0,0,0,0,0,1,0
1748,1,0,1,1,0,1,0,1
1753,1,1,0,0,0,0,0,0
1754,1,1,1,0,1,0,0,0
1755,1,0,0,1,0,0,0,0
1757,1,1,0,0,1,0,0,0
1759,0,0,0,0,0,0,1,0
1760,1,0,1,1,0,0,0,0
1761,1,1,0,0,0,0,0,0
1764,1,1,0,0,0,0,0,0
1765,1,0,1,1,0,0,0,0
1768,1,1,0,1,0,0,0,0
